file 'bs4ZB.out'; 9 or 999.9999 indicates missing data.
label
ewg       w         rp        v         sd        run       gl        pgk     
cg        gpdh      ninaC     glt       prd       mhc       ddc       duc    
eve       sli       plu       egfr      twi       zip       lsp       ve    
acr       dbi       h         cyc       fz        eip       tra       rdg    
ht        ant       ninaE     fas       mst       odh       tub       hb    
rox       ald       mlc       jan       efi                                   
pc1       adjpc1    area      areat     tibia
BS01-1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1   0.00984   0.10939   0.00787   0.01887   0.41700
BS01-2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1   0.01268   0.14151   0.00816   0.01860   0.43900
BS01-3 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1   0.01033   0.12961   0.00805   0.01851   0.43500
BS01-4 2 2 2 2 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0   0.00417   0.13079   0.00639   0.01449   0.44100
BS01-5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1   0.01848   0.16576   0.00977   0.02388   0.40900
BS02-1 0 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   0.01610   0.17826   0.00884   0.02051   0.43100
BS02-2 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1   0.00192   0.09174   0.00607   0.01500   0.40500
BS02-3 9 2 2 2 9 2 9 1 1 9 1 9 1 9 1 9 1 0 0 9 0 9 9 1 1 9 1 9 1 9 1 1 9 1 9 9 0 0 9 1 9 1 1 1 9   0.00014   0.04721   0.00584   0.01280   0.45600
BS02-4 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   0.02390   0.16086   0.01143   0.02652   0.43100
BS02-5 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0  -0.00040   0.07548   0.00569   0.01324   0.43000
BS03-1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   0.02980   0.21610   0.01244   0.02934   0.42400
BS03-2 2 2 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1   0.00950   0.10964   0.00774   0.01860   0.41600
BS03-3 9 0 0 0 9 0 9 0 0 9 0 9 0 9 0 9 0 1 1 9 0 9 9 0 0 9 0 9 1 9 1 1 9 1 9 9 1 1 9 1 9 1 1 1 9   0.01128   0.11997   0.00828   0.01994   0.41500
BS03-4 2 2 2 2 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1   0.00774   0.12281   0.00736   0.01716   0.42900
BS03-5 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0   0.02218   0.19885   0.01036   0.02468   0.42000
BS04-1 0 0 0 0 2 2 0 0 1 1 1 1 1 9 1 1 1 1 1 1 1 1 0 0 0 9 0 9 0 0 0 0 9 0 9 9 0 0 0 0 9 0 0 0 9   0.02183   0.19153   0.01035   0.02434   0.42500
